timestamp,line_id,cycle_time_sec,reject_rate_pct,utilisation_pct,energy_kwh
2024-12-15 06:00,LINE-01,41,1.9,87,210
2024-12-15 06:00,LINE-02,40,2.0,88,208
2024-12-15 07:00,LINE-01,42,2.1,86,212
2024-12-15 07:00,LINE-02,41,2.2,87,209
2024-12-15 08:00,LINE-01,43,2.0,85,214
2024-12-15 08:00,LINE-02,58,12.4,72,245
2024-12-15 09:00,LINE-01,41,1.8,88,210
2024-12-15 09:00,LINE-02,44,2.3,86,211
2024-12-15 10:00,LINE-01,40,2.1,89,208
2024-12-15 10:00,LINE-02,42,2.0,87,210
2024-12-15 11:00,LINE-01,39,1.7,90,206
2024-12-15 11:00,LINE-02,41,2.1,88,209
